"","name","value","is_filter"
"1","Annotation: Type of Length measure","Carapace length",FALSE
"2","Annotation: Upload type","Generic",TRUE
"3","Annotation: Taxa that have been ID'd","Spiny lobster",FALSE
"4","Annotation: Lengths measured for","All spiny lobster",TRUE
