Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Outlier,Tarspot,Retention.status,Total.damage,Count,Family,Genus,Species
Dongara.Canons.Masters,1.SM17C1,K1021,,75,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C1,,,67,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C1,K1023,,71,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C1,K1024,,63,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C1,K1026,,72,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C1,K1028,,65,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,85,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,77,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,78,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,58,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,75,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F2,,,25,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,71,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,67,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,61,Female,Unknown,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,74,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,67,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C3,,,61,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,72,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,66,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,46,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,71,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,33,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17F4,,,74,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,65,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,68,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,69,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,64,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,68,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,69,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,70,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,68,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,64,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,70,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C5,,,73,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,77,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,76,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,70,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,73,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,71,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C6,,,54,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,72,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,71,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,69,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,73,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,76,Female,Unknown,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,69,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C8,,,72,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,K1031,,74,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,K1033,,68,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,K1035,,70,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,K1036,,66,Female,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,K1038,,66,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,73,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,71,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,84,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,70,Male,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,73,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,70,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,73,Male,Red,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,78,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,69,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Canons.Masters,1.SM17C11,,,72,Female,White,0,0,0,0,Alive,,,,,,FALSE,0,,,Released,0,1,Palinuridae,Panulirus,cygnus
