Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
2.1.IR1,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,1,2,13,,,
2.1.IR10,-29.34287155,114.8739361,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,10,2,13,,,
2.1.IR2,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,2,2,13,,,
2.1.IR3,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,3,2,13,,,
2.1.IR4,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,4,2,13,,,
2.1.IR5,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,5,2,13,,,
2.1.IR6,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,6,2,13,,,
2.1.IR7,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,7,2,13,,,
2.1.IR8,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,8,2,13,,,
2.1.IR9,-29.32368333,114.8731033,20180611,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,IR,9,2,13,,,
2.1.LR11,-29.36581667,114.8589667,20180611,12:00:00,Irwin Reef,Fished,Long Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,LR,11,2,13,,,
2.1.LR12,-29.36672,114.85807,20180611,12:00:00,Irwin Reef,Fished,Long Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,2,1,LR,12,2,13,,,
