"","name","value","is_filter"
"1","Annotation: Taxa that have been ID'd","Spiny lobster",FALSE
"2","Annotation: Lengths measured for","All spiny lobster",TRUE
"3","Annotation: Type of Length measure","Carapace length",FALSE
"4","Annotation: Upload type","Generic",TRUE
