Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
3.1.IR2,-29.32153,114.87529,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,2,4,13,,
3.1.IR5,-29.34494,114.87321,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,5,4,13,,
3.1.IR11,-29.34477,114.87376,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,11,4,13,1,
3.1.IR10,-29.34457,114.87422,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,10,4,13,1,
3.1.IR4,-29.34404,114.8742,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,4,4,13,1,
3.1.IR9,-29.34351,114.87418,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,9,4,13,,
3.1.IR6,-29.34287,114.87403,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,6,4,13,,
3.1.IR1,-29.33355,114.87042,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,1,4,13,,
3.1.IR8,-29.34166,114.87278,20180704,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,IR,8,4,13,,
3.1.WL13,-29.38333,114.8883,20180704,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,WL,13,4,13,,
3.1.WL14,-29.38279,114.88743,20180704,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,WL,14,4,13,1,1
3.1.WL7,-29.38368,114.88699,20180704,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,WL,7,4,13,,
3.1.WL12,-29.38439,114.88578,20180704,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,WL,12,4,13,1,
3.1.WL15,-29.3851,114.88639,20180704,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,Seaweed,Dongara.Millers.Masters,3,1,WL,15,4,13,,
3.1.LH31,-29.46099,114.92637,20180704,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,LH,31,4,13,,
3.1.LH30,-29.46046,114.92644,20180704,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,3,1,LH,30,4,13,,
