Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Date,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,11.1.GR7,195557,TRUE,64.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR17,K3018,TRUE,84.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR1,191746,,70,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR1,199301,,56.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR3,199302,,66.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR21,199252,,48.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR21,195856,TRUE,64,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.GR32,191566,TRUE,61.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS43,199303,,78.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS43,195972,TRUE,78.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS47,196019,TRUE,77.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS47,199304,,81.7,Male,Red,0,0,0,0,Alive,Tag scar,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS8,195962,TRUE,74.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS8,195526,TRUE,63.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS25,K4053,TRUE,72.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS25,199306,,56.6,Male,Red,0,0,0,0,Alive,(1) wkw,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS22,199307,,85.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS26,199308,,81.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS26,199309,,73.7,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS26,199310,,53.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS26,199311,,63.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199312,,71.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199313,,79.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199315,,80,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199196,,75.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199197,,81.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHS50,199198,,75.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHM28,199319,,82.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHN40,199320,,85.8,Male,Red,0,1,0,0,Alive,,,,,,FALSE,11,2019-06-03,,1,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHN16,199321,,73.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHN45,199322,,91.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHN45,199323,,76.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_33,K3631,TRUE,87.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_33,199324,,86.1,Male,Unknown,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_4,199325,,66.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_35,199326,,76.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_18,199327,,53.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_13,199328,,69.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_13,199329,,55.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,11.1.CHout2_9,199330,,78,Male,Red,0,0,0,0,Alive,,,,,,FALSE,11,2019-06-03,,0,1,Palinuridae,Panulirus,cygnus
