Date,Hs(m).tot,Tp(s).tot,T1(s).tot,Hs(m).sw,Tp(s).sw,T1(s).sw,Dir(deg).sw,Hs(m).sea,Tp(s).sea,T1(s).sea,Dir(deg).sea
02/01/2017  07:20,1.53,14.29,6.86,1.11,14.29,11.96,248,1.05,6.67,4.63,211
02/01/2017  07:50,1.56,13.33,5.85,0.98,13.33,11.56,248,1.21,6.67,4.4,212
02/01/2017  08:20,1.61,12.5,6.33,1.18,12.5,11.98,236,1.1,7.69,4.12,225
02/01/2017  08:50,1.61,13.33,6.56,1.15,13.33,11.83,246,1.12,7.69,4.44,219
02/01/2017  09:20,1.54,13.33,6.39,1.09,13.33,11.5,242,1.1,7.14,4.45,212
02/01/2017  09:50,1.48,13.33,6.39,1.01,13.33,11.38,238,1.08,7.14,4.63,211
02/01/2017  10:20,1.47,13.33,6.67,1.04,13.33,11.54,236,1.05,7.14,4.71,212
02/01/2017  10:50,1.49,13.33,6.91,1.08,13.33,11.35,253,1.03,7.69,4.85,215
02/01/2017  11:20,1.49,12.5,7,1.04,12.5,11.49,231,1.06,7.14,5.08,207
02/01/2017  11:50,1.62,12.5,7.32,1.2,12.5,11.15,238,1.09,7.69,5.17,212
02/01/2017  12:20,1.58,13.33,7.38,1.16,13.33,11.26,236,1.07,7.69,5.24,214
02/01/2017  12:50,1.58,13.33,7.47,1.16,13.33,11.46,242,1.07,7.14,5.31,211
02/01/2017  13:20,1.46,13.33,7.37,1.07,13.33,11.66,238,1,7.14,5.21,204
02/01/2017  13:50,1.59,13.33,7.65,1.24,13.33,11.51,235,0.99,7.14,5.03,210
02/01/2017  14:20,1.66,12.5,7.51,1.27,12.5,11.25,229,1.07,7.69,5.12,212
02/01/2017  14:50,1.64,12.5,7.45,1.24,12.5,11.68,228,1.06,7.69,4.99,207
02/01/2017  15:20,1.75,13.33,7.6,1.36,13.33,11.59,218,1.1,7.14,4.98,214
02/01/2017  15:50,1.71,15.38,7.33,1.3,15.38,11.91,224,1.1,7.69,4.76,215
02/01/2017  16:20,1.8,12.5,7.4,1.41,12.5,11.67,229,1.12,7.69,4.66,214
02/01/2017  16:50,1.81,13.33,7.07,1.36,13.33,11.67,222,1.19,7.69,4.65,212
02/01/2017  17:20,1.73,13.33,6.79,1.3,13.33,11.64,222,1.14,7.69,4.39,208
02/01/2017  17:50,1.82,12.5,7.1,1.41,12.5,11.97,225,1.14,6.67,4.38,207
02/01/2017  18:20,1.84,12.5,7.1,1.45,12.5,11.78,222,1.14,6.67,4.32,212
02/01/2017  18:50,1.86,14.29,7.4,1.5,14.29,11.98,225,1.11,7.14,4.37,214
02/01/2017  19:20,2.05,13.33,7.63,1.67,13.33,12.09,226,1.18,7.14,4.37,210
02/01/2017  19:50,1.9,13.33,7.14,1.52,13.33,11.98,228,1.14,7.69,4.15,210
02/01/2017  20:20,1.91,12.5,7.23,1.53,12.5,11.83,233,1.14,7.69,4.25,218
02/01/2017  20:50,1.75,11.76,6.51,1.3,11.76,11.9,226,1.16,4.35,4.15,187
02/01/2017  21:20,1.95,13.33,7.06,1.55,13.33,11.85,239,1.18,4.17,4.15,188
02/01/2017  21:50,1.95,14.29,7.04,1.55,14.29,12.07,224,1.2,4.35,4.15,187
02/01/2017  22:20,2.2,13.33,8.21,1.89,13.33,12.4,231,1.11,7.14,4.15,217
02/01/2017  22:50,1.92,12.5,7.04,1.53,12.5,11.88,236,1.17,4.76,4.15,188
02/01/2017  23:20,1.89,13.33,7.43,1.57,13.33,11.81,229,1.05,5,4.07,197
02/01/2017  23:50,1.88,13.33,7.5,1.54,13.33,12.09,226,1.08,4.55,4.22,187
03/01/2017  00:20,2,13.33,8.07,1.71,13.33,12.37,232,1.02,7.69,4.09,225
03/01/2017  00:50,1.94,13.33,7.58,1.61,13.33,11.93,225,1.08,4.55,4.17,188
03/01/2017  01:20,1.98,13.33,7.82,1.66,13.33,11.92,226,1.09,4.55,4.34,188
03/01/2017  01:50,1.84,13.33,7.55,1.53,13.33,11.74,224,1.03,4.76,4.24,184
03/01/2017  02:20,1.84,13.33,7.79,1.56,13.33,11.62,218,0.98,6.25,4.24,217
03/01/2017  02:50,2.08,12.5,8.47,1.82,12.5,11.86,233,1,4.76,4.34,190
03/01/2017  03:20,1.77,13.33,7.92,1.52,13.33,11.65,235,0.9,7.69,4.14,231
03/01/2017  03:50,1.86,13.33,7.6,1.53,13.33,11.9,246,1.05,4.76,4.29,184
03/01/2017  04:20,1.81,12.5,7.83,1.55,12.5,11.57,236,0.95,7.69,4.21,235
03/01/2017  04:50,1.86,12.5,7.79,1.56,12.5,11.6,233,1.01,5,4.36,188
03/01/2017  05:20,1.7,13.33,7.8,1.45,13.33,11.49,242,0.89,4.76,4.22,194
03/01/2017  05:50,1.9,12.5,8.54,1.67,12.5,11.85,232,0.92,7.69,4.44,219
03/01/2017  06:20,1.8,13.33,8.31,1.56,13.33,11.61,238,0.9,7.69,4.52,219
03/01/2017  06:50,1.67,13.33,8.34,1.45,13.33,11.88,233,0.84,7.69,4.44,222
03/01/2017  07:20,1.9,13.33,9.27,1.7,13.33,12.11,232,0.84,7.14,4.75,226
03/01/2017  07:50,1.51,14.29,8.23,1.29,14.29,11.43,228,0.8,7.69,4.77,226
03/01/2017  08:20,1.61,11.76,8.72,1.42,11.76,11.73,226,0.77,7.69,4.65,225
03/01/2017  08:50,1.57,11.76,8.32,1.34,11.76,11.46,231,0.82,7.69,4.83,224
03/01/2017  09:20,1.72,12.5,9.25,1.56,12.5,11.59,235,0.73,7.69,4.81,224
03/01/2017  09:50,1.66,12.5,9.22,1.49,12.5,11.91,236,0.72,7.69,4.67,229
03/01/2017  10:20,1.75,13.33,9.31,1.59,13.33,11.7,235,0.74,7.69,4.82,228
03/01/2017  10:50,1.68,11.76,9.02,1.5,11.76,11.62,235,0.76,7.69,4.82,217
03/01/2017  11:20,1.62,12.5,9.15,1.45,12.5,11.7,233,0.71,7.69,4.78,225
03/01/2017  11:50,1.56,13.33,9.08,1.4,13.33,11.69,236,0.67,7.69,4.58,217
03/01/2017  12:20,1.54,11.76,8.77,1.36,11.76,11.49,233,0.7,7.69,4.64,219
03/01/2017  12:50,1.56,12.5,8.88,1.41,12.5,11.55,236,0.67,7.69,4.42,217
03/01/2017  13:20,1.44,12.5,8.16,1.25,12.5,11.38,226,0.72,7.69,4.39,226
03/01/2017  13:50,1.6,13.33,8.89,1.45,13.33,11.85,238,0.68,7.69,4.19,218
03/01/2017  14:20,1.44,11.76,8.33,1.27,11.76,11.57,233,0.68,7.14,4.2,218
03/01/2017  14:50,1.37,13.33,7.73,1.17,13.33,11.25,224,0.72,7.69,4.22,212
03/01/2017  15:20,1.71,12.5,8.66,1.54,12.5,11.3,233,0.75,7.69,4.38,225
03/01/2017  15:50,1.42,12.5,8.12,1.23,12.5,11.46,228,0.7,7.69,4.27,217
03/01/2017  16:20,1.49,13.33,8.28,1.31,13.33,11.64,228,0.7,7.69,4.12,221
03/01/2017  16:50,1.56,11.76,7.91,1.36,11.76,11.27,225,0.75,7.69,4.01,217
03/01/2017  17:20,1.65,12.5,7.47,1.41,12.5,11.25,229,0.85,7.69,3.86,235
03/01/2017  17:50,1.65,12.5,6.91,1.37,12.5,11.22,225,0.93,7.69,3.75,219
03/01/2017  18:20,1.63,12.5,6.67,1.31,12.5,10.95,226,0.96,3.85,3.85,205
03/01/2017  18:50,1.73,12.5,7.01,1.43,12.5,11.04,226,0.97,7.69,3.88,229
03/01/2017  19:20,1.74,11.76,6.62,1.37,11.76,11.08,229,1.07,5,3.97,221
03/01/2017  19:50,1.6,12.5,6.29,1.2,12.5,10.92,219,1.05,4.55,4.07,211
03/01/2017  20:20,1.83,11.76,6.71,1.44,11.76,11.03,222,1.13,4.35,4.08,208
03/01/2017  20:50,1.73,11.76,6.36,1.27,11.76,11.17,229,1.18,5.26,4.24,221
03/01/2017  21:20,1.71,12.5,6.65,1.31,12.5,11.09,228,1.09,5.26,4.21,226
03/01/2017  21:50,1.79,12.5,6.47,1.34,12.5,11,224,1.19,5,4.25,218
03/01/2017  22:20,1.68,11.76,5.9,1.1,11.76,11.06,225,1.27,5.56,4.38,226
