"sizeclass","Sample","Date","Location","Site","SiteNo","Longitude","Latitude","Hs.m.sw","Hs.m.sea","T1.s.sw","T1.s.sea","sst","Count"
"All","1.1.CHin2_41","2018-05-08","Cliff Head","Cliff Head South","-29.5336231114.957272",114.957272,-29.5336231,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Legal","1.1.CHin2_41","2018-05-08","Cliff Head","Cliff Head South","-29.5336231114.957272",114.957272,-29.5336231,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin2_41","2018-05-08","Cliff Head","Cliff Head South","-29.5336231114.957272",114.957272,-29.5336231,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"All","1.1.CHin2_42","2018-05-08","Cliff Head","Cliff Head South","-29.53436114.9573117",114.9573117,-29.53436,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Legal","1.1.CHin2_42","2018-05-08","Cliff Head","Cliff Head South","-29.53436114.9573117",114.9573117,-29.53436,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin2_42","2018-05-08","Cliff Head","Cliff Head South","-29.53436114.9573117",114.9573117,-29.53436,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"All","1.1.CHin2_43","2018-05-08","Cliff Head","Cliff Head South","-29.535485114.9570883",114.9570883,-29.535485,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,2
"Legal","1.1.CHin2_43","2018-05-08","Cliff Head","Cliff Head South","-29.535485114.9570883",114.9570883,-29.535485,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin2_43","2018-05-08","Cliff Head","Cliff Head South","-29.535485114.9570883",114.9570883,-29.535485,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,2
"All","1.1.CHin2_44","2018-05-08","Cliff Head","Cliff Head South","-29.51325833114.9624133",114.9624133,-29.51325833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Legal","1.1.CHin2_44","2018-05-08","Cliff Head","Cliff Head South","-29.51325833114.9624133",114.9624133,-29.51325833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin2_44","2018-05-08","Cliff Head","Cliff Head South","-29.51325833114.9624133",114.9624133,-29.51325833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"All","1.1.CHout2_19","2018-05-08","Cliff Head","Cliff Head North","-29.48408833114.95605",114.95605,-29.48408833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Legal","1.1.CHout2_19","2018-05-08","Cliff Head","Cliff Head North","-29.48408833114.95605",114.95605,-29.48408833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_19","2018-05-08","Cliff Head","Cliff Head North","-29.48408833114.95605",114.95605,-29.48408833,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.CHout2_20","2018-05-08","Cliff Head","Cliff Head North","-29.484145114.9557083",114.9557083,-29.484145,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.CHout2_20","2018-05-08","Cliff Head","Cliff Head North","-29.484145114.9557083",114.9557083,-29.484145,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_20","2018-05-08","Cliff Head","Cliff Head North","-29.484145114.9557083",114.9557083,-29.484145,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"All","1.1.CHout2_21","2018-05-08","Cliff Head","Cliff Head North","-29.484515114.955625",114.955625,-29.484515,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,3
"Legal","1.1.CHout2_21","2018-05-08","Cliff Head","Cliff Head North","-29.484515114.955625",114.955625,-29.484515,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Sublegal","1.1.CHout2_21","2018-05-08","Cliff Head","Cliff Head North","-29.484515114.955625",114.955625,-29.484515,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,2
"All","1.1.CHout2_22","2018-05-08","Cliff Head","Cliff Head North","-29.48466167114.9556467",114.9556467,-29.48466167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"Legal","1.1.CHout2_22","2018-05-08","Cliff Head","Cliff Head North","-29.48466167114.9556467",114.9556467,-29.48466167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_22","2018-05-08","Cliff Head","Cliff Head North","-29.48466167114.9556467",114.9556467,-29.48466167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,1
"All","1.1.CHout2_23","2018-05-08","Cliff Head","Cliff Head North","-29.48516167114.955805",114.955805,-29.48516167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,2
"Legal","1.1.CHout2_23","2018-05-08","Cliff Head","Cliff Head North","-29.48516167114.955805",114.955805,-29.48516167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Sublegal","1.1.CHout2_23","2018-05-08","Cliff Head","Cliff Head North","-29.48516167114.955805",114.955805,-29.48516167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,2
"All","1.1.CHout2_24","2018-05-08","Cliff Head","Cliff Head North","-29.48544167114.9558567",114.9558567,-29.48544167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
"Legal","1.1.CHout2_24","2018-05-08","Cliff Head","Cliff Head North","-29.48544167114.9558567",114.9558567,-29.48544167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.41,0
