"","Date","SiteNo","Long","Lat"
"1",2018-05-08,"-29.52059333114.96065",114.96065,-29.52059333
"2",2018-05-08,"-29.52059333114.96065",114.96065,-29.52059333
"3",2018-05-08,"-29.52059333114.96065",114.96065,-29.52059333
"4",2018-05-08,"-29.52081114.9607567",114.9607567,-29.52081
"5",2018-05-08,"-29.52081114.9607567",114.9607567,-29.52081
"6",2018-05-08,"-29.52081114.9607567",114.9607567,-29.52081
"7",2018-05-08,"-29.52257114.96078",114.96078,-29.52257
"8",2018-05-08,"-29.52257114.96078",114.96078,-29.52257
"9",2018-05-08,"-29.52257114.96078",114.96078,-29.52257
"10",2018-05-08,"-29.52398114.9602283",114.9602283,-29.52398
"11",2018-05-08,"-29.52398114.9602283",114.9602283,-29.52398
"12",2018-05-08,"-29.52398114.9602283",114.9602283,-29.52398
"13",2018-05-08,"-29.52431361114.9602023",114.9602023,-29.52431361
"14",2018-05-08,"-29.52431361114.9602023",114.9602023,-29.52431361
"15",2018-05-08,"-29.52431361114.9602023",114.9602023,-29.52431361
"16",2018-05-08,"-29.52465285114.9602273",114.9602273,-29.52465285
"17",2018-05-08,"-29.52465285114.9602273",114.9602273,-29.52465285
"18",2018-05-08,"-29.52465285114.9602273",114.9602273,-29.52465285
"19",2018-05-08,"-29.52505833114.9602917",114.9602917,-29.52505833
"20",2018-05-08,"-29.52505833114.9602917",114.9602917,-29.52505833
"21",2018-05-08,"-29.52505833114.9602917",114.9602917,-29.52505833
"22",2018-05-08,"-29.525505114.960065",114.960065,-29.525505
"23",2018-05-08,"-29.525505114.960065",114.960065,-29.525505
"24",2018-05-08,"-29.525505114.960065",114.960065,-29.525505
"25",2018-05-08,"-29.52649833114.959545",114.959545,-29.52649833
"26",2018-05-08,"-29.52649833114.959545",114.959545,-29.52649833
"27",2018-05-08,"-29.52649833114.959545",114.959545,-29.52649833
"28",2018-05-08,"-29.53249667114.957505",114.957505,-29.53249667
"29",2018-05-08,"-29.53249667114.957505",114.957505,-29.53249667
"30",2018-05-08,"-29.53249667114.957505",114.957505,-29.53249667
"31",2018-05-08,"-29.53306292114.9573264",114.9573264,-29.53306292
"32",2018-05-08,"-29.53306292114.9573264",114.9573264,-29.53306292
"33",2018-05-08,"-29.53306292114.9573264",114.9573264,-29.53306292
"34",2018-05-08,"-29.5336231114.957272",114.957272,-29.5336231
"35",2018-05-08,"-29.5336231114.957272",114.957272,-29.5336231
"36",2018-05-08,"-29.5336231114.957272",114.957272,-29.5336231
"37",2018-05-08,"-29.53436114.9573117",114.9573117,-29.53436
"38",2018-05-08,"-29.53436114.9573117",114.9573117,-29.53436
"39",2018-05-08,"-29.53436114.9573117",114.9573117,-29.53436
"40",2018-05-08,"-29.535485114.9570883",114.9570883,-29.535485
"41",2018-05-08,"-29.535485114.9570883",114.9570883,-29.535485
"42",2018-05-08,"-29.535485114.9570883",114.9570883,-29.535485
"43",2018-05-08,"-29.51325833114.9624133",114.9624133,-29.51325833
"44",2018-05-08,"-29.51325833114.9624133",114.9624133,-29.51325833
"45",2018-05-08,"-29.51325833114.9624133",114.9624133,-29.51325833
"46",2018-05-08,"-29.48408833114.95605",114.95605,-29.48408833
"47",2018-05-08,"-29.48408833114.95605",114.95605,-29.48408833
"48",2018-05-08,"-29.48408833114.95605",114.95605,-29.48408833
