"sizeclass","Sample","Count","Date","Location","Site","Longitude","Latitude"
"Legal","11.3.LHS12",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9197267,-29.46052667
"Sublegal","11.3.LHS12",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9197267,-29.46052667
"All","11.3.LHS13",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9191,-29.46096833
"Legal","11.3.LHS13",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9191,-29.46096833
"Sublegal","11.3.LHS13",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9191,-29.46096833
"All","11.3.LHS15",5,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9266033,-29.45964333
"Legal","11.3.LHS15",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9266033,-29.45964333
"Sublegal","11.3.LHS15",4,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9266033,-29.45964333
"All","11.3.LHS18",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9182383,-29.46195
"Legal","11.3.LHS18",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9182383,-29.46195
"Sublegal","11.3.LHS18",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9182383,-29.46195
"All","11.3.LHS20",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9262067,-29.46077
"Legal","11.3.LHS20",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9262067,-29.46077
"Sublegal","11.3.LHS20",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9262067,-29.46077
"All","11.3.LHS21",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92661,-29.45927667
"Legal","11.3.LHS21",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92661,-29.45927667
"Sublegal","11.3.LHS21",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92661,-29.45927667
"All","11.3.LHS27",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252017,-29.46662667
"Legal","11.3.LHS27",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252017,-29.46662667
"Sublegal","11.3.LHS27",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252017,-29.46662667
"All","11.3.LHS29",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9186233,-29.46129667
"Legal","11.3.LHS29",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9186233,-29.46129667
"Sublegal","11.3.LHS29",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9186233,-29.46129667
"All","11.3.LHS31",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9239267,-29.46706
"Legal","11.3.LHS31",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9239267,-29.46706
"Sublegal","11.3.LHS31",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9239267,-29.46706
"All","11.3.LHS35",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9169167,-29.46258667
"Legal","11.3.LHS35",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9169167,-29.46258667
"Sublegal","11.3.LHS35",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9169167,-29.46258667
"All","11.3.LHS36",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252683,-29.46555
"Legal","11.3.LHS36",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252683,-29.46555
"Sublegal","11.3.LHS36",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9252683,-29.46555
"All","11.3.LHS38",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92028,-29.459515
"Legal","11.3.LHS38",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92028,-29.459515
"Sublegal","11.3.LHS38",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92028,-29.459515
"All","11.3.LHS39",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9236417,-29.46713
"Legal","11.3.LHS39",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9236417,-29.46713
"Sublegal","11.3.LHS39",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9236417,-29.46713
"All","11.3.LHS48",5,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92636,-29.460405
"Legal","11.3.LHS48",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92636,-29.460405
"Sublegal","11.3.LHS48",4,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.92636,-29.460405
"All","11.3.LHS49",3,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9176483,-29.46314333
"Legal","11.3.LHS49",1,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9176483,-29.46314333
"Sublegal","11.3.LHS49",2,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9176483,-29.46314333
"All","11.3.LHS9",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9198217,-29.460625
"Legal","11.3.LHS9",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9198217,-29.460625
"Sublegal","11.3.LHS9",0,"2019-06-05","Little Horseshoe","Little HorseshoeS",114.9198217,-29.460625
"All","11.3.SR16",0,"2019-06-05","Irwin Reef","South Rig",114.8707383,-29.452845
"Legal","11.3.SR16",0,"2019-06-05","Irwin Reef","South Rig",114.8707383,-29.452845
"Sublegal","11.3.SR16",0,"2019-06-05","Irwin Reef","South Rig",114.8707383,-29.452845
"All","11.3.SR19",8,"2019-06-05","Irwin Reef","South Rig",114.869905,-29.45452167
"Legal","11.3.SR19",2,"2019-06-05","Irwin Reef","South Rig",114.869905,-29.45452167
"Sublegal","11.3.SR19",6,"2019-06-05","Irwin Reef","South Rig",114.869905,-29.45452167
"All","11.3.SR33",1,"2019-06-05","Irwin Reef","South Rig",114.86878,-29.45736667
"Legal","11.3.SR33",1,"2019-06-05","Irwin Reef","South Rig",114.86878,-29.45736667
"Sublegal","11.3.SR33",0,"2019-06-05","Irwin Reef","South Rig",114.86878,-29.45736667
"All","11.3.SR34",0,"2019-06-05","Irwin Reef","South Rig",114.868665,-29.45800667
"Legal","11.3.SR34",0,"2019-06-05","Irwin Reef","South Rig",114.868665,-29.45800667
"Sublegal","11.3.SR34",0,"2019-06-05","Irwin Reef","South Rig",114.868665,-29.45800667
"All","11.3.SR4",6,"2019-06-05","Irwin Reef","South Rig",114.8684483,-29.458565
"Legal","11.3.SR4",3,"2019-06-05","Irwin Reef","South Rig",114.8684483,-29.458565
"Sublegal","11.3.SR4",3,"2019-06-05","Irwin Reef","South Rig",114.8684483,-29.458565
"All","11.3.SR45",4,"2019-06-05","Irwin Reef","South Rig",114.8699033,-29.45548667
"Legal","11.3.SR45",0,"2019-06-05","Irwin Reef","South Rig",114.8699033,-29.45548667
"Sublegal","11.3.SR45",4,"2019-06-05","Irwin Reef","South Rig",114.8699033,-29.45548667
"All","11.3.SR46",4,"2019-06-05","Irwin Reef","South Rig",114.8685,-29.459005
"Legal","11.3.SR46",3,"2019-06-05","Irwin Reef","South Rig",114.8685,-29.459005
"Sublegal","11.3.SR46",1,"2019-06-05","Irwin Reef","South Rig",114.8685,-29.459005
"All","11.3.SR5",0,"2019-06-05","Irwin Reef","South Rig",114.8709617,-29.45171667
"Legal","11.3.SR5",0,"2019-06-05","Irwin Reef","South Rig",114.8709617,-29.45171667
"Sublegal","11.3.SR5",0,"2019-06-05","Irwin Reef","South Rig",114.8709617,-29.45171667
"All","11.3.WL22",4,"2019-06-05","White Point","Whites Lump",114.888335,-29.38340333
"Legal","11.3.WL22",2,"2019-06-05","White Point","Whites Lump",114.888335,-29.38340333
"Sublegal","11.3.WL22",2,"2019-06-05","White Point","Whites Lump",114.888335,-29.38340333
"All","11.3.WL25",9,"2019-06-05","White Point","Whites Lump",114.8873167,-29.38309833
"Legal","11.3.WL25",2,"2019-06-05","White Point","Whites Lump",114.8873167,-29.38309833
"Sublegal","11.3.WL25",7,"2019-06-05","White Point","Whites Lump",114.8873167,-29.38309833
"All","11.3.WL30",2,"2019-06-05","White Point","Whites Lump",114.8878667,-29.38346833
"Legal","11.3.WL30",0,"2019-06-05","White Point","Whites Lump",114.8878667,-29.38346833
"Sublegal","11.3.WL30",2,"2019-06-05","White Point","Whites Lump",114.8878667,-29.38346833
"All","11.3.WL32",1,"2019-06-05","White Point","Whites Lump",114.8863533,-29.38513167
"Legal","11.3.WL32",0,"2019-06-05","White Point","Whites Lump",114.8863533,-29.38513167
"Sublegal","11.3.WL32",1,"2019-06-05","White Point","Whites Lump",114.8863533,-29.38513167
"All","11.3.WL43",2,"2019-06-05","White Point","Whites Lump",114.8858683,-29.38460167
"Legal","11.3.WL43",0,"2019-06-05","White Point","Whites Lump",114.8858683,-29.38460167
"Sublegal","11.3.WL43",2,"2019-06-05","White Point","Whites Lump",114.8858683,-29.38460167
"All","11.3.WL44",3,"2019-06-05","White Point","Whites Lump",114.8861617,-29.38471333
"Legal","11.3.WL44",1,"2019-06-05","White Point","Whites Lump",114.8861617,-29.38471333
"Sublegal","11.3.WL44",2,"2019-06-05","White Point","Whites Lump",114.8861617,-29.38471333
"All","11.3.WL47",12,"2019-06-05","White Point","Whites Lump",114.88692,-29.38394167
"Legal","11.3.WL47",2,"2019-06-05","White Point","Whites Lump",114.88692,-29.38394167
"Sublegal","11.3.WL47",10,"2019-06-05","White Point","Whites Lump",114.88692,-29.38394167
"All","11.3.WL8",3,"2019-06-05","White Point","Whites Lump",114.8874033,-29.38351833
"Legal","11.3.WL8",0,"2019-06-05","White Point","Whites Lump",114.8874033,-29.38351833
"Sublegal","11.3.WL8",3,"2019-06-05","White Point","Whites Lump",114.8874033,-29.38351833
"All","11.3.WP11",4,"2019-06-05","White Point","White Point",114.89539,-29.42377167
"Legal","11.3.WP11",1,"2019-06-05","White Point","White Point",114.89539,-29.42377167
"Sublegal","11.3.WP11",3,"2019-06-05","White Point","White Point",114.89539,-29.42377167
"All","11.3.WP2",0,"2019-06-05","White Point","White Point",114.8953383,-29.42394167
"Legal","11.3.WP2",0,"2019-06-05","White Point","White Point",114.8953383,-29.42394167
"Sublegal","11.3.WP2",0,"2019-06-05","White Point","White Point",114.8953383,-29.42394167
"All","11.3.WP23",6,"2019-06-05","White Point","White Point",114.89568,-29.422215
"Legal","11.3.WP23",3,"2019-06-05","White Point","White Point",114.89568,-29.422215
"Sublegal","11.3.WP23",3,"2019-06-05","White Point","White Point",114.89568,-29.422215
"All","11.3.WP26",9,"2019-06-05","White Point","White Point",114.8951617,-29.42336333
"Legal","11.3.WP26",2,"2019-06-05","White Point","White Point",114.8951617,-29.42336333
"Sublegal","11.3.WP26",7,"2019-06-05","White Point","White Point",114.8951617,-29.42336333
"All","11.3.WP28",0,"2019-06-05","White Point","White Point",114.8950083,-29.42287
"Legal","11.3.WP28",0,"2019-06-05","White Point","White Point",114.8950083,-29.42287
"Sublegal","11.3.WP28",0,"2019-06-05","White Point","White Point",114.8950083,-29.42287
"All","11.3.WP40",1,"2019-06-05","White Point","White Point",114.89545,-29.42463
"Legal","11.3.WP40",1,"2019-06-05","White Point","White Point",114.89545,-29.42463
"Sublegal","11.3.WP40",0,"2019-06-05","White Point","White Point",114.89545,-29.42463
"All","11.3.WP41",1,"2019-06-05","White Point","White Point",114.8954467,-29.42419
"Legal","11.3.WP41",0,"2019-06-05","White Point","White Point",114.8954467,-29.42419
"Sublegal","11.3.WP41",1,"2019-06-05","White Point","White Point",114.8954467,-29.42419
"All","11.3.WP50",7,"2019-06-05","White Point","White Point",114.8951917,-29.42248833
"Legal","11.3.WP50",1,"2019-06-05","White Point","White Point",114.8951917,-29.42248833
"Sublegal","11.3.WP50",6,"2019-06-05","White Point","White Point",114.8951917,-29.42248833
"All","12.1.IR12",7,"2019-07-08","Irwin Reef","Irwin Reef",114.873366666667,-29.34175
"Legal","12.1.IR12",0,"2019-07-08","Irwin Reef","Irwin Reef",114.873366666667,-29.34175
"Sublegal","12.1.IR12",7,"2019-07-08","Irwin Reef","Irwin Reef",114.873366666667,-29.34175
"All","12.1.IR29",10,"2019-07-08","Irwin Reef","Irwin Reef",114.873933333333,-29.3427666666667
"Legal","12.1.IR29",3,"2019-07-08","Irwin Reef","Irwin Reef",114.873933333333,-29.3427666666667
"Sublegal","12.1.IR29",7,"2019-07-08","Irwin Reef","Irwin Reef",114.873933333333,-29.3427666666667
"All","12.1.IR31",9,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3441333333333
"Legal","12.1.IR31",3,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3441333333333
"Sublegal","12.1.IR31",6,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3441333333333
"All","12.1.IR35",16,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3432166666667
"Legal","12.1.IR35",3,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3432166666667
"Sublegal","12.1.IR35",13,"2019-07-08","Irwin Reef","Irwin Reef",114.8742,-29.3432166666667
"All","12.1.IR38",12,"2019-07-08","Irwin Reef","Irwin Reef",114.87405,-29.3445333333333
"Legal","12.1.IR38",0,"2019-07-08","Irwin Reef","Irwin Reef",114.87405,-29.3445333333333
"Sublegal","12.1.IR38",12,"2019-07-08","Irwin Reef","Irwin Reef",114.87405,-29.3445333333333
"All","12.1.IR48",2,"2019-07-08","Irwin Reef","Irwin Reef",114.874216666667,-29.3436333333333
"Legal","12.1.IR48",0,"2019-07-08","Irwin Reef","Irwin Reef",114.874216666667,-29.3436333333333
"Sublegal","12.1.IR48",2,"2019-07-08","Irwin Reef","Irwin Reef",114.874216666667,-29.3436333333333
"All","12.1.IR49",5,"2019-07-08","Irwin Reef","Irwin Reef",114.87385,-29.3422166666667
"Legal","12.1.IR49",1,"2019-07-08","Irwin Reef","Irwin Reef",114.87385,-29.3422166666667
"Sublegal","12.1.IR49",4,"2019-07-08","Irwin Reef","Irwin Reef",114.87385,-29.3422166666667
"All","12.1.IR9",5,"2019-07-08","Irwin Reef","Irwin Reef",114.873583333333,-29.3449166666667
"Legal","12.1.IR9",1,"2019-07-08","Irwin Reef","Irwin Reef",114.873583333333,-29.3449166666667
"Sublegal","12.1.IR9",4,"2019-07-08","Irwin Reef","Irwin Reef",114.873583333333,-29.3449166666667
"All","12.1.JB18",22,"2019-07-08","White Point","White Point",114.89535,-29.4221666666667
"Legal","12.1.JB18",5,"2019-07-08","White Point","White Point",114.89535,-29.4221666666667
"Sublegal","12.1.JB18",17,"2019-07-08","White Point","White Point",114.89535,-29.4221666666667
"All","12.1.JB19",4,"2019-07-08","White Point","White Point",114.8953,-29.4232
"Legal","12.1.JB19",3,"2019-07-08","White Point","White Point",114.8953,-29.4232
"Sublegal","12.1.JB19",1,"2019-07-08","White Point","White Point",114.8953,-29.4232
"All","12.1.JB22",4,"2019-07-08","White Point","White Point",114.895466666667,-29.4238666666667
"Legal","12.1.JB22",2,"2019-07-08","White Point","White Point",114.895466666667,-29.4238666666667
"Sublegal","12.1.JB22",2,"2019-07-08","White Point","White Point",114.895466666667,-29.4238666666667
"All","12.1.JB27",3,"2019-07-08","White Point","White Point",114.894716666667,-29.4213
"Legal","12.1.JB27",2,"2019-07-08","White Point","White Point",114.894716666667,-29.4213
"Sublegal","12.1.JB27",1,"2019-07-08","White Point","White Point",114.894716666667,-29.4213
"All","12.1.JB4",8,"2019-07-08","White Point","White Point",114.89505,-29.4225333333333
"Legal","12.1.JB4",3,"2019-07-08","White Point","White Point",114.89505,-29.4225333333333
"Sublegal","12.1.JB4",5,"2019-07-08","White Point","White Point",114.89505,-29.4225333333333
"All","12.1.JB46",3,"2019-07-08","White Point","White Point",114.89485,-29.42285
"Legal","12.1.JB46",0,"2019-07-08","White Point","White Point",114.89485,-29.42285
"Sublegal","12.1.JB46",3,"2019-07-08","White Point","White Point",114.89485,-29.42285
"All","12.1.JB5",0,"2019-07-08","White Point","White Point",114.895216666667,-29.4216166666667
"Legal","12.1.JB5",0,"2019-07-08","White Point","White Point",114.895216666667,-29.4216166666667
"Sublegal","12.1.JB5",0,"2019-07-08","White Point","White Point",114.895216666667,-29.4216166666667
"All","12.1.JB50",3,"2019-07-08","White Point","White Point",114.895316666667,-29.4235833333333
"Legal","12.1.JB50",0,"2019-07-08","White Point","White Point",114.895316666667,-29.4235833333333
"Sublegal","12.1.JB50",3,"2019-07-08","White Point","White Point",114.895316666667,-29.4235833333333
"All","12.1.LHS1",2,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918116666667,-29.4612
"Legal","12.1.LHS1",1,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918116666667,-29.4612
"Sublegal","12.1.LHS1",1,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918116666667,-29.4612
"All","12.1.LHS17",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91755,-29.4615333333333
"Legal","12.1.LHS17",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91755,-29.4615333333333
"Sublegal","12.1.LHS17",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91755,-29.4615333333333
"All","12.1.LHS24",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9169,-29.4621333333333
"Legal","12.1.LHS24",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9169,-29.4621333333333
"Sublegal","12.1.LHS24",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9169,-29.4621333333333
"All","12.1.LHS25",1,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9192,-29.46065
"Legal","12.1.LHS25",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9192,-29.46065
"Sublegal","12.1.LHS25",1,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.9192,-29.46065
"All","12.1.LHS3",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918666666667,-29.4608333333333
"Legal","12.1.LHS3",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918666666667,-29.4608333333333
"Sublegal","12.1.LHS3",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.918666666667,-29.4608333333333
"All","12.1.LHS47",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91695,-29.4617333333333
"Legal","12.1.LHS47",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91695,-29.4617333333333
"Sublegal","12.1.LHS47",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.91695,-29.4617333333333
"All","12.1.LHS6",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.919383333333,-29.4602833333333
"Legal","12.1.LHS6",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.919383333333,-29.4602833333333
"Sublegal","12.1.LHS6",0,"2019-07-08","Little Horseshoe","Little HorseshoeS",114.919383333333,-29.4602833333333
"All","12.1.SR10",2,"2019-07-08","Irwin Reef","South Rig",114.865983333333,-29.4715666666667
"Legal","12.1.SR10",2,"2019-07-08","Irwin Reef","South Rig",114.865983333333,-29.4715666666667
"Sublegal","12.1.SR10",0,"2019-07-08","Irwin Reef","South Rig",114.865983333333,-29.4715666666667
"All","12.1.SR11",0,"2019-07-08","Irwin Reef","South Rig",114.87,-29.4541166666667
"Legal","12.1.SR11",0,"2019-07-08","Irwin Reef","South Rig",114.87,-29.4541166666667
"Sublegal","12.1.SR11",0,"2019-07-08","Irwin Reef","South Rig",114.87,-29.4541166666667
"All","12.1.SR16",3,"2019-07-08","Irwin Reef","South Rig",114.871166666667,-29.45185
"Legal","12.1.SR16",1,"2019-07-08","Irwin Reef","South Rig",114.871166666667,-29.45185
"Sublegal","12.1.SR16",2,"2019-07-08","Irwin Reef","South Rig",114.871166666667,-29.45185
"All","12.1.SR2",2,"2019-07-08","Irwin Reef","South Rig",114.870583333333,-29.4527333333333
"Legal","12.1.SR2",1,"2019-07-08","Irwin Reef","South Rig",114.870583333333,-29.4527333333333
"Sublegal","12.1.SR2",1,"2019-07-08","Irwin Reef","South Rig",114.870583333333,-29.4527333333333
"All","12.1.SR23",2,"2019-07-08","Irwin Reef","South Rig",114.869033333333,-29.4569666666667
"Legal","12.1.SR23",0,"2019-07-08","Irwin Reef","South Rig",114.869033333333,-29.4569666666667
"Sublegal","12.1.SR23",2,"2019-07-08","Irwin Reef","South Rig",114.869033333333,-29.4569666666667
"All","12.1.SR26",16,"2019-07-08","Irwin Reef","South Rig",114.868966666667,-29.4575333333333
"Legal","12.1.SR26",7,"2019-07-08","Irwin Reef","South Rig",114.868966666667,-29.4575333333333
"Sublegal","12.1.SR26",9,"2019-07-08","Irwin Reef","South Rig",114.868966666667,-29.4575333333333
"All","12.1.SR28",0,"2019-07-08","Irwin Reef","South Rig",114.868716666667,-29.4580666666667
"Legal","12.1.SR28",0,"2019-07-08","Irwin Reef","South Rig",114.868716666667,-29.4580666666667
"Sublegal","12.1.SR28",0,"2019-07-08","Irwin Reef","South Rig",114.868716666667,-29.4580666666667
"All","12.1.SR30",7,"2019-07-08","Irwin Reef","South Rig",114.8661,-29.4721666666667
"Legal","12.1.SR30",4,"2019-07-08","Irwin Reef","South Rig",114.8661,-29.4721666666667
"Sublegal","12.1.SR30",3,"2019-07-08","Irwin Reef","South Rig",114.8661,-29.4721666666667
"All","12.1.SR32",0,"2019-07-08","Irwin Reef","South Rig",114.86965,-29.4563
"Legal","12.1.SR32",0,"2019-07-08","Irwin Reef","South Rig",114.86965,-29.4563
"Sublegal","12.1.SR32",0,"2019-07-08","Irwin Reef","South Rig",114.86965,-29.4563
"All","12.1.SR37",0,"2019-07-08","Irwin Reef","South Rig",114.865866666667,-29.47085
"Legal","12.1.SR37",0,"2019-07-08","Irwin Reef","South Rig",114.865866666667,-29.47085
"Sublegal","12.1.SR37",0,"2019-07-08","Irwin Reef","South Rig",114.865866666667,-29.47085
"All","12.1.SR40",8,"2019-07-08","Irwin Reef","South Rig",114.86995,-29.4551333333333
"Legal","12.1.SR40",0,"2019-07-08","Irwin Reef","South Rig",114.86995,-29.4551333333333
"Sublegal","12.1.SR40",8,"2019-07-08","Irwin Reef","South Rig",114.86995,-29.4551333333333
"All","12.1.SR41",5,"2019-07-08","Irwin Reef","South Rig",114.867116666667,-29.4689166666667
"Legal","12.1.SR41",1,"2019-07-08","Irwin Reef","South Rig",114.867116666667,-29.4689166666667
"Sublegal","12.1.SR41",4,"2019-07-08","Irwin Reef","South Rig",114.867116666667,-29.4689166666667
"All","12.1.SR43",2,"2019-07-08","Irwin Reef","South Rig",114.8662,-29.4725333333333
"Legal","12.1.SR43",1,"2019-07-08","Irwin Reef","South Rig",114.8662,-29.4725333333333
"Sublegal","12.1.SR43",1,"2019-07-08","Irwin Reef","South Rig",114.8662,-29.4725333333333
"All","12.1.SR44",2,"2019-07-08","Irwin Reef","South Rig",114.8663,-29.4698
"Legal","12.1.SR44",2,"2019-07-08","Irwin Reef","South Rig",114.8663,-29.4698
"Sublegal","12.1.SR44",0,"2019-07-08","Irwin Reef","South Rig",114.8663,-29.4698
"All","12.1.SR7",1,"2019-07-08","Irwin Reef","South Rig",114.866033333333,-29.47305
"Legal","12.1.SR7",1,"2019-07-08","Irwin Reef","South Rig",114.866033333333,-29.47305
"Sublegal","12.1.SR7",0,"2019-07-08","Irwin Reef","South Rig",114.866033333333,-29.47305
"All","12.1.SR8",4,"2019-07-08","Irwin Reef","South Rig",114.866433333333,-29.4704333333333
"Legal","12.1.SR8",3,"2019-07-08","Irwin Reef","South Rig",114.866433333333,-29.4704333333333
"Sublegal","12.1.SR8",1,"2019-07-08","Irwin Reef","South Rig",114.866433333333,-29.4704333333333
"All","12.1.WL13",19,"2019-07-08","White Point","Whites Lump",114.886766666667,-29.3837833333333
"Legal","12.1.WL13",8,"2019-07-08","White Point","Whites Lump",114.886766666667,-29.3837833333333
"Sublegal","12.1.WL13",11,"2019-07-08","White Point","Whites Lump",114.886766666667,-29.3837833333333
"All","12.1.WL15",0,"2019-07-08","White Point","Whites Lump",114.885816666667,-29.3844666666667
"Legal","12.1.WL15",0,"2019-07-08","White Point","Whites Lump",114.885816666667,-29.3844666666667
"Sublegal","12.1.WL15",0,"2019-07-08","White Point","Whites Lump",114.885816666667,-29.3844666666667
"All","12.1.WL20",4,"2019-07-08","White Point","Whites Lump",114.887683333333,-29.3828666666667
"Legal","12.1.WL20",1,"2019-07-08","White Point","Whites Lump",114.887683333333,-29.3828666666667
"Sublegal","12.1.WL20",3,"2019-07-08","White Point","Whites Lump",114.887683333333,-29.3828666666667
"All","12.1.WL21",11,"2019-07-08","White Point","Whites Lump",114.886816666667,-29.38415
"Legal","12.1.WL21",5,"2019-07-08","White Point","Whites Lump",114.886816666667,-29.38415
"Sublegal","12.1.WL21",6,"2019-07-08","White Point","Whites Lump",114.886816666667,-29.38415
"All","12.1.WL33",3,"2019-07-08","White Point","Whites Lump",114.88635,-29.3841666666667
"Legal","12.1.WL33",0,"2019-07-08","White Point","Whites Lump",114.88635,-29.3841666666667
"Sublegal","12.1.WL33",3,"2019-07-08","White Point","Whites Lump",114.88635,-29.3841666666667
"All","12.1.WL34",6,"2019-07-08","White Point","Whites Lump",114.8873,-29.3826833333333
"Legal","12.1.WL34",2,"2019-07-08","White Point","Whites Lump",114.8873,-29.3826833333333
"Sublegal","12.1.WL34",4,"2019-07-08","White Point","Whites Lump",114.8873,-29.3826833333333
"All","12.1.WL36",4,"2019-07-08","White Point","Whites Lump",114.888316666667,-29.3830666666667
"Legal","12.1.WL36",2,"2019-07-08","White Point","Whites Lump",114.888316666667,-29.3830666666667
"Sublegal","12.1.WL36",2,"2019-07-08","White Point","Whites Lump",114.888316666667,-29.3830666666667
"All","12.1.WL39",9,"2019-07-08","White Point","Whites Lump",114.8871,-29.3831833333333
"Legal","12.1.WL39",1,"2019-07-08","White Point","Whites Lump",114.8871,-29.3831833333333
"Sublegal","12.1.WL39",8,"2019-07-08","White Point","Whites Lump",114.8871,-29.3831833333333
"All","12.1.WL45",3,"2019-07-08","White Point","Whites Lump",114.888016666667,-29.3832833333333
"Legal","12.1.WL45",0,"2019-07-08","White Point","Whites Lump",114.888016666667,-29.3832833333333
"Sublegal","12.1.WL45",3,"2019-07-08","White Point","Whites Lump",114.888016666667,-29.3832833333333
"All","12.2.CHN10",5,"2019-07-09","Cliff Head","Cliff Head North",114.957383333333,-29.48115
"Legal","12.2.CHN10",4,"2019-07-09","Cliff Head","Cliff Head North",114.957383333333,-29.48115
"Sublegal","12.2.CHN10",1,"2019-07-09","Cliff Head","Cliff Head North",114.957383333333,-29.48115
"All","12.2.CHN11",1,"2019-07-09","Cliff Head","Cliff Head North",114.956233333333,-29.4835666666667
"Legal","12.2.CHN11",0,"2019-07-09","Cliff Head","Cliff Head North",114.956233333333,-29.4835666666667
"Sublegal","12.2.CHN11",1,"2019-07-09","Cliff Head","Cliff Head North",114.956233333333,-29.4835666666667
"All","12.2.CHN16",12,"2019-07-09","Cliff Head","Cliff Head North",114.959366666667,-29.4822666666667
"Legal","12.2.CHN16",3,"2019-07-09","Cliff Head","Cliff Head North",114.959366666667,-29.4822666666667
"Sublegal","12.2.CHN16",9,"2019-07-09","Cliff Head","Cliff Head North",114.959366666667,-29.4822666666667
"All","12.2.CHN19",6,"2019-07-09","Cliff Head","Cliff Head North",114.959433333333,-29.4818166666667
"Legal","12.2.CHN19",1,"2019-07-09","Cliff Head","Cliff Head North",114.959433333333,-29.4818166666667
"Sublegal","12.2.CHN19",5,"2019-07-09","Cliff Head","Cliff Head North",114.959433333333,-29.4818166666667
"All","12.2.CHN2",11,"2019-07-09","Cliff Head","Cliff Head North",114.9559,-29.4841
"Legal","12.2.CHN2",3,"2019-07-09","Cliff Head","Cliff Head North",114.9559,-29.4841
