"","Date","Long","Lat","sst","i"
"90","2018-11-08",114.887817,-29.171072,292.795514672185,2
"91","2018-05-23",114.887817,-29.171072,294.057147525008,2
"92","2018-05-24",114.887817,-29.171072,294.240861024384,2
"93","2018-06-13",114.887817,-29.171072,294.003613434975,2
"94","2018-06-14",114.887817,-29.171072,294.029198589127,2
"95","2018-07-31",114.887817,-29.171072,292.647028602336,2
"96","2017-11-27",114.87821,-29.17279,294.38271921604,2
"97","2017-11-27",114.87962,-29.17656,294.38271921604,2
"98","2017-11-27",114.87984,-29.17673,294.381095284453,2
"99","2017-11-27",114.88056,-29.17729,294.394141438007,2
"100","2017-11-27",114.88096,-29.17832,294.394141438007,2
"101","2017-11-27",114.881,-29.17896,294.394141438007,3
"102","2017-11-27",114.88195,-29.18059,294.394172207237,3
"103","2017-11-27",114.87873,-29.17392,294.38271921604,3
"104","2017-11-27",114.87894,-29.1747,294.38271921604,3
"105","2017-11-27",114.87893,-29.17536,294.38271921604,3
"106","2017-11-27",114.87906,-29.17562,294.38271921604,3
"107","2017-11-27",114.87936,-29.1763,294.38271921604,3
"108","2017-11-27",114.88004,-29.1769,294.381095284453,3
"109","2017-11-27",114.88098,-29.1777,294.394141438007,3
"110","2017-11-27",114.88117,-29.18002,294.394172207237,3
"111","2017-11-27",114.878373,-29.173369,294.38271921604,3
"112","2017-11-27",114.87901,-29.17515,294.38271921604,3
"113","2017-11-27",114.87918,-29.17594,294.38271921604,3
"114","2017-11-27",114.87071,-29.17767,294.373328535247,3
"115","2017-11-27",114.87433,-29.18206,294.381715631833,3
"116","2017-11-27",114.87478,-29.18272,294.381715631833,3
"117","2017-11-27",114.87544,-29.18357,294.381837990006,3
"118","2017-11-27",114.87596,-29.18409,294.381837990006,3
"119","2017-11-27",114.87676,-29.18451,294.381837990006,3
"120","2017-11-27",114.86988,-29.17898,294.374003938457,3
"121","2017-11-27",114.87098,-29.17999,294.374003938457,3
"122","2017-11-27",114.87156,-29.1802,294.374003938457,3
"123","2017-11-27",114.87263,-29.18077,294.369486893104,3
"124","2017-11-27",114.8734,-29.18114,294.369486893104,3
"125","2017-11-27",114.87381,-29.18159,294.379316438339,3
"126","2017-11-27",114.87531,-29.18301,294.381837990006,3
"127","2017-11-27",114.87642,-29.1843,294.381837990006,3
"128","2017-11-27",114.86995,-29.17833,294.373328535247,3
"129","2017-11-27",114.87056,-29.17958,294.374003938457,3
"130","2017-11-27",114.87195,-29.18036,294.374003938457,3
"131","2017-11-27",114.88178,-29.1758,294.394141438007,3
"132","2017-11-27",114.88379,-29.18158,294.394172207237,3
"133","2017-11-27",114.88451,-29.1824,294.394172207237,3
"134","2017-11-27",114.88562,-29.18381,294.38790440111,3
"135","2017-11-27",114.88608,-29.18463,294.38790440111,3
"136","2017-11-27",114.8867,-29.18625,294.366141438633,3
"137","2017-11-27",114.88182,-29.176273,294.394141438007,3
"138","2017-11-27",114.88245,-29.17776,294.394141438007,3
"139","2017-11-27",114.882694,-29.178257,294.394141438007,3
"140","2017-11-27",114.88331,-29.17973,294.394172207237,3
"141","2017-11-27",114.88337,-29.18051,294.394172207237,3
"142","2017-11-27",114.88503,-29.18307,294.394172207237,3
"143","2017-11-27",114.88638,-29.18551,294.38790440111,3
"144","2017-11-27",114.88199,-29.17685,294.394141438007,3
"145","2017-11-27",114.88285,-29.17901,294.394141438007,3
"146","2017-11-27",114.88365,-29.18125,294.394172207237,3
"147","2019-06-03",114.9586467,-29.53658,291.417836284265,3
"148","2019-06-03",114.95889,-29.53583167,291.417836284265,3
"149","2019-06-03",114.958585,-29.536525,291.417836284265,3
"150","2019-06-03",114.9603667,-29.52407,291.417836284265,3
"151","2019-06-03",114.9610317,-29.522755,291.417836284265,4
"152","2019-06-03",114.9600033,-29.52560833,291.417836284265,4
"153","2019-06-03",114.9598633,-29.52734667,291.417836284265,4
"154","2019-06-03",114.960715,-29.52272,291.417836284265,4
"155","2019-06-03",114.9601467,-29.52522,291.417836284265,4
"156","2019-06-03",114.968809,-29.50777471,290.657836301252,4
"157","2019-06-03",114.9558083,-29.484225,291.877836273983,4
"158","2019-06-03",114.956225,-29.48271667,291.877836273983,4
"159","2019-06-03",114.9557483,-29.48477,291.877836273983,4
"160","2019-06-03",114.9571033,-29.48172833,291.877836273983,4
"161","2019-06-03",114.9561183,-29.48308167,291.877836273983,4
"162","2019-06-03",114.95749,-29.48138667,291.877836273983,4
"163","2019-06-03",114.95585,-29.48464167,291.877836273983,4
"164","2019-06-03",114.957345,-29.48090167,291.877836273983,4
"165","2019-06-03",114.9583933,-29.48526833,291.877836273983,4
"166","2019-06-03",114.9589017,-29.48351,291.877836273983,4
"167","2019-06-03",114.958285,-29.48432,291.877836273983,4
"168","2019-06-03",114.9571233,-29.48176,291.877836273983,4
"169","2019-06-03",114.9562267,-29.48344833,291.877836273983,4
"170","2019-06-03",114.95694,-29.48032833,291.877836273983,4
"171","2019-06-03",114.9592967,-29.482795,291.877836273983,4
"172","2019-06-03",114.9592683,-29.48258,291.877836273983,4
"173","2019-06-03",114.9573267,-29.48226,291.877836273983,4
"174","2019-06-03",114.9595317,-29.48190667,291.877836273983,4
"175","2019-06-03",114.955965,-29.48392667,291.877836273983,4
"176","2019-06-03",114.9525167,-29.53875833,291.417836284265,4
"177","2019-06-03",114.95301,-29.538625,291.417836284265,4
"178","2019-06-03",114.951205,-29.53960667,291.177836289629,4
"179","2019-06-03",114.9524683,-29.53810333,291.417836284265,4
"180","2019-06-03",114.9525133,-29.53936833,291.177836289629,4
"181","2019-06-03",114.9504567,-29.540995,291.177836289629,4
"182","2019-06-03",114.950355,-29.54044,291.177836289629,4
"183","2019-06-03",114.9527783,-29.53766167,291.417836284265,4
"184","2019-06-03",114.950565,-29.539925,291.177836289629,4
"185","2019-06-03",114.92865,-29.53827,292.157836267725,4
"186","2019-06-03",114.928645,-29.53721333,292.157836267725,4
"187","2019-06-03",114.9295217,-29.536865,292.157836267725,4
"188","2019-06-03",114.92838,-29.539315,291.707836277783,4
"189","2019-06-03",114.9285267,-29.538755,292.157836267725,4
"190","2019-06-03",114.928535,-29.54030333,291.707836277783,4
"191","2019-06-03",114.9294333,-29.537225,292.157836267725,4
"192","2019-06-03",114.9279133,-29.54052833,291.707836277783,4
"193","2019-06-03",114.92886,-29.53968167,291.707836277783,4
"194","2019-06-03",114.9294867,-29.53570833,292.157836267725,4
"195","2019-06-04",114.9589033,-29.536025,291.417133126408,4
"196","2019-06-04",114.9591,-29.53555833,291.417133126408,4
"197","2019-06-04",114.958645,-29.53639167,291.417133126408,4
"198","2019-06-04",114.96025,-29.52415833,291.417133126408,4
"199","2019-06-04",114.9607783,-29.52265667,291.417133126408,4
"200","2019-06-04",114.9602283,-29.52516,291.417133126408,4
"201","2019-06-04",114.9601533,-29.52562833,291.417133126408,5
