Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
4.2.CHin2_50,-29.53628,114.95871,20180814,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin2,50,1,13,,,
4.2.CHin2_17,-29.53602,114.95886,20180814,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin2,17,1,13,,,
4.2.CHin2_4,-29.5356,114.95933,20180814,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin2,4,1,13,1,,
4.1.CHin1_19,-29.52567,114.96028,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,1,CHin1,19,3,13,,,
4.1.CHin1_30,-29.52493,114.96021,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin1,30,3,13,X,,
4.1.CHin1_25,-29.52465,114.96038,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin1,25,3,13,,1 Maori Wrasse,
4.1.CHin1_43,-29.52412,114.96029,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin1,43,3,13,,,
4.1.CHin1_26,-29.52261,114.96084,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin1,26,3,13,,,
4.1.CHin1_12,-29.52095,114.96061,20180813,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin1,12,3,13,X,,
4.2.CHin1_12,-29.52086,114.96048,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,12,1,13,,,
4.2.CHin1_26,-29.52266,114.96068,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,26,1,13,,,
4.2.CHin1_43,-29.52402,114.96037,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,43,1,13,,,
4.2.CHin1_25,-29.52468,114.96017,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,25,1,13,,,
4.2.CHin1_30,-29.52489,114.96018,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,30,1,13,,,
4.2.CHin1_19,-29.52567,114.96001,20180814,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,CHin1,19,1,13,,,
4.1.CHout2_22,-29.48476,114.95569,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,22,3,13,X,,
4.1.CHout2_2,-29.48411,114.95585,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,2,3,13,,,
4.1.CHout2_13,-29.4838,114.95623,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,13,3,13,,,
4.1.CHout2_24,-29.48305,114.95652,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,24,3,13,,,
4.1.CHout2_31,-29.48294,114.95695,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,31,3,13,,,
4.1.CHout2_49,-29.48334,114.95907,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,1,CHout2,49,3,13,,,
4.1.CHout2_33,-29.48267,114.95933,20180813,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHout2,33,3,13,,,
