Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,3.1.IR2,K2898,,80,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2897,,81,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2896,,88.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2895,,83.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2894,,73.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2893,,82.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2891,,86.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2890,,79.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2889,,72.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2887,,76,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2886,,57.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2885,,81.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2883,,79.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2881,,72,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2880,,78,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2879,,76,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2878,,66.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2877,,83.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,3,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,3.1.IR2,K2549,TRUE,74.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,3,y,0,1,Palinuridae,Panulirus,cygnus
