Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,1.1.LH34,K1725,,68,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.LH37,K1726,,80,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.LH37,191038,,66,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.LH38,191037,,69.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_19,191036,,68.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_21,K1728,,85.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_21,191035,,55.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_21,191034,,47.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_22,191033,,45.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_23,191032,,65.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_23,191031,,56.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_25,K1736,,66.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_25,191022,,64.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_25,191021,,62.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_25,191020,,51.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_25,191019,,48.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,191018,,52.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,K1737,,66.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,191017,,56.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,K1738,,73.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,191016,,57.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHout2_26,191015,,43.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_1,191030,,57.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_3,191029,,56,Female,Red,0,0,1,0,Alive,,,,,,FALSE,1,,1,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_3,191028,,43.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_4,K1729,,66.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_4,191027,,48.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,1.1.CHin1_4,191026,,44.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,1,,0,1,Palinuridae,Panulirus,cygnus
