"Source","Sample","Trip","Day","Site.code","Pot.number","Location","Site","Date","Day.pull","Latitude","Longitude","Depth.lidar","Pot.type","Comment","Pwo","Pwf","Repeated.samples","Depth.echosounder","Distance.from.shore.perpendicular.kilometer","Distance.from.shore.nearestpoint.kilometer","Days.from.new.moon","Slope","Aspect","Rugosity","Curvature","Curv.plan","Curv.profile","Sd.10m","Sd.15m","Sd.20m","Sd.25m","Sd.50m","Sd.75m","Sd.100m","Sd.200m","Sd.500m","Sd.1000m","Puerulus.count.1k","Puerulus.count.2k","Puerulus.count.3k","Substrate","Wkw","Successful.count","Successful.length","Time","Status","Depth","Observer","CampaignID"
"Dongara.Canons.Masters","1.SM5F12","0","1","SM5","12","Seven Mile","Seven Mile Mid","20171127","1","-29.18307","114.88503","9.69","F",NA,NA,NA,"1","5","0.9","0.76","9","0.37669","350.168","1.00006","0.01399","-0.0305","-0.04449","0.09571","0.35498","0.56734","0.64201","0.96467","0.98052","1.03653","1.79036","4.10564","5.67147","28.666","28.666","28.666","Reef",NA,"Yes","Yes","12:00:00","Fished","9.69","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM5C13","0","1","SM5","13","Seven Mile","Seven Mile Mid","20171127","1","-29.18381","114.88562","6.73","C",NA,NA,NA,"1","5","0.99","0.73","9","1.61848","90.526","1.00146","-0.01058","-0.66806","-0.65748","0.25333","0.37949","0.40228","0.41599","0.45654","0.58994","0.87845","2.07228","4.02746","5.68383","28.666","28.666","28.666","Reef",NA,"Yes","Yes","12:00:00","Fished","6.73","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM5C14","0","1","SM5","14","Seven Mile","Seven Mile Mid","20171127","1","-29.18463","114.88608","8.03","C",NA,NA,NA,"1","5","0.94","0.7","9","3.54426","359.97299","1.00122","-1.98015","-1.13159","0.84856","0.32346","0.43618","0.57874","0.67439","0.84476","0.83545","1.16938","2.11569","4.02935","5.72503","28.666","28.666","28.666","Reef",NA,"Yes","Yes","12:00:00","Fished","8.03","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM5F15","0","1","SM5","15","Seven Mile","Seven Mile Mid","20171127","1","-29.18551","114.88638","8.7","F",NA,NA,NA,"1","5","0.91","0.7","9","8.75219","67.7512","1.01036","-7.22785","-1.06676","6.1611","0.63791","0.52397","0.52406","0.65048","1.09052","1.00229","1.13794","2.26337","4.12584","5.78197","28.666","28.666","28.666","Reef",NA,"Yes","Yes","12:00:00","Fished","8.7","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM5C16","0","1","SM5","16","Seven Mile","Seven Mile Mid","20171127","1","-29.18625","114.8867","8.95","C",NA,NA,NA,"1","5","0.87","0.68","9","2.83209","304.944","1.00307","-1.03894","-0.53673","0.5022","0.42608","0.67102","0.78397","1.05201","1.13096","1.00645","1.10107","2.25804","4.22952","5.81999","28.666","28.666","28.666","Reef",NA,"Yes","Yes","12:00:00","Fished","8.95","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C1","0","1","SM10","1","Seven Mile","Seven Mile Mid","20171127","1","-29.17279","114.87821","12.54","C",NA,NA,NA,"1","10","1.3","1.02","9","2.48512","104.102","1.00035","0.59333","0.34873","-0.24461","0.23501","0.31683","0.37341","0.44523","0.87659","1.1913","1.48614","1.78627","3.88942","5.07577",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.54","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10F2","0","1","SM10","2","Seven Mile","Seven Mile Mid","20171127","1","-29.173369","114.878373","13.25","F",NA,NA,NA,"1","10","1.34","1.02","9","1.67479","259.54199","1.00068","0.00702","-0.19277","-0.19979","0.24048","0.30912","0.3383","0.39305","0.79933","1.14715","1.43368","1.81496","3.83599","5.12256",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.25","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C3","0","1","SM10","3","Seven Mile","Seven Mile Mid","20171127","1","-29.17392","114.87873","12.87","C",NA,NA,NA,"1","10","1.3","1","9","1.57537","84.1333","1.00036","-0.92918","-0.91692","0.01226","0.1568","0.22229","0.28295","0.322","0.79788","1.26088","1.64003","2.02034","3.82033","5.17695",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.87","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C4","0","1","SM10","4","Seven Mile","Seven Mile Mid","20171127","1","-29.1747","114.87894","12.96","C",NA,NA,NA,"1","10","1.36","1","9","2.5008","239.90601","1.00008","-0.01741","0.28108","0.29849","0.21804","0.26174","0.29966","0.33736","0.61602","1.03732","1.49319","2.09199","3.80431","5.23852",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.96","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10F5","0","1","SM10","5","Seven Mile","Seven Mile Mid","20171127","1","-29.17515","114.87901","13.28","F",NA,NA,NA,"1","10","1.35","1.01","9","1.35143","198.328","1.00008","-0.49679","-0.21834","0.27845","0.11196","0.1507","0.18913","0.24353","0.51803","0.74641","1.1761","2.05625","3.76431","5.25179",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.28","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C6","0","1","SM10","6","Seven Mile","Seven Mile Mid","20171127","1","-29.17536","114.87893","13.35","C",NA,NA,NA,"1","10","1.45","1.02","9","0.75495","30.7551","1.00009","-0.06997","0.07361","0.14358","0.06177","0.0873","0.11194","0.17063","0.45987","0.67116","0.96312","2.00035","3.71183","5.24757",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","13.35","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
