"Source","Sample","Tag.number","Recapture","Length","Sex","Colour","Damage.old.a","Damage.old.l","Damage.new.a","Damage.new.l","Dead","Individual.remarks","Reproductive.stage","Setose.state","Egg.stage","Moult.stage","Cable.tie","Trip","Outlier","Total.damage","Count","Family","Genus","Species","CampaignID"
"Dongara.Canons.Masters","1.SM17C1","K1021",NA,75,"Male","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1",NA,NA,67,"Male","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1","K1023",NA,71,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1","K1024",NA,63,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1","K1026",NA,72,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1","K1028",NA,65,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,85,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,77,"Male","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,78,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,58,"Male","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,75,"Male","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2",NA,NA,25,"Male","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,71,"Male","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,67,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,61,"Female","Unknown",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,74,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,67,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3",NA,NA,61,"Male","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,72,"Male","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,66,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,46,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,71,"Female","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,33,"Female","Red",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4",NA,NA,74,"Male","White",0,0,0,0,"Alive",NA,NA,NA,NA,NA,"FALSE",0,NA,0,1,"Palinuridae","Panulirus","cygnus","2017-11_Dongara.Canons.Masters_Trapping"
