Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.4.JB29,-29.41997,114.8977,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,29,1,13,,
5.4.JB30,-29.42026,114.8977,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,30,1,13,,
5.4.JB33,-29.42061,114.8976,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,33,1,13,,
5.4.JB25,-29.42123,114.8947,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,25,1,13,1,2
5.4.JB43,-29.42222,114.8954,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,43,1,13,1,
5.4.JB11,-29.42238,114.8949,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,11,1,13,,2
5.4.JB12,-29.42284,114.8951,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,12,1,13,1,
5.4.JB49,-29.42314,114.8951,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,49,1,13,,
5.4.JB27,-29.42401,114.8955,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,27,1,13,,
5.4.JB4,-29.42437,114.8954,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,4,1,13,1,
5.4.JB2,-29.42667,114.896,20180917,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,JB,2,1,13,,
5.4.WL9,-29.38319,114.8884,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,9,1,13,,
5.4.WL21,-29.38296,114.8879,20180917,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,4,WL,21,1,13,,
