Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Depth.lidar,Pot.type,Pwo,Wkw
1.2.CHin2_49,-29.53578333,114.9586233,20180509,12:00:00,Cliff Head,Fished,Cliff Head South,5.04,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHin2,49,1,5.04,13,,
1.2.CHin2_50,-29.535765,114.95819,20180509,12:00:00,Cliff Head,Fished,Cliff Head South,5.989,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHin2,50,1,5.989,13,,
1.1.CHout2_19,-29.48408833,114.95605,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,6.609,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,19,1,6.609,13,,
1.1.CHout2_20,-29.484145,114.9557083,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,9.329,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,20,1,9.329,13,,
1.1.CHout2_21,-29.484515,114.955625,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,9.329,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,21,1,9.329,13,,
1.1.CHout2_22,-29.48466167,114.9556467,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,9.49,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,22,1,9.49,13,,
1.1.CHout2_23,-29.48516167,114.955805,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,6.411,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,23,1,6.411,13,,1
1.1.CHout2_24,-29.48544167,114.9558567,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,6.201,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,24,1,6.201,13,,
1.1.CHout2_25,-29.483475,114.9586917,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,5.989,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,25,1,5.989,13,,
1.1.CHout2_26,-29.48243167,114.9590817,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,5.32,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,26,1,5.32,13,,
1.1.CHout2_27,-29.48155,114.9573567,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,5.66,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,27,1,5.66,13,,
1.1.CHout2_28,-29.48056833,114.9574,20180508,12:00:00,Cliff Head,Fished,Cliff Head North,4.1,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHout2,28,1,4.1,13,,
1.2.CHout2_11,-29.48235167,114.959505,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,7.72,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,11,1,7.72,13,,
1.2.CHout2_12,-29.48233535,114.9592736,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,7.18,Ash Miller,Yes,Yes,Port Jackson shark 1.2m (1),Dongara.Millers.Masters,1,2,CHout2,12,1,7.18,13,,1
1.2.CHout2_13,-29.48269887,114.959264,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,8.29,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,13,1,8.29,13,,
1.2.CHout2_14,-29.47833951,114.9591092,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,8.361,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,14,1,8.361,13,,
1.2.CHout2_15,-29.47792667,114.9594917,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,7.849,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,15,,7.849,13,,
1.2.CHout2_16,-29.47767821,114.9591974,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,7.369,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,16,1,7.369,13,,
1.2.CHout2_17,-29.47762,114.95965,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,6.53,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,17,1,6.53,13,,
1.2.CHout2_18,-29.48259167,114.9589283,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,6.42,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,18,1,6.42,13,1,1
1.2.CHout2_19,-29.48339833,114.958065,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,7.042,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,19,1,7.042,13,,
1.2.CHout2_20,-29.48388167,114.95817,20180509,12:00:00,Cliff Head,Fished,Cliff Head North,8.451,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,CHout2,20,1,8.451,13,,
1.1.LH34,-29.48539333,114.9202783,20180508,12:00:00,Little Horseshoe,Fished,Little Horseshoe,11.84,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,LH,34,1,11.84,13,,
1.1.LH35,-29.48664833,114.92082,20180508,12:00:00,Little Horseshoe,Fished,Little Horseshoe,13.42,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,LH,35,1,13.42,13,,
1.1.LH36,-29.48389509,114.9199618,20180508,12:00:00,Little Horseshoe,Fished,Little Horseshoe,10.672,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,LH,36,1,10.672,13,,
1.1.LH37,-29.48786,114.9188633,20180508,12:00:00,Little Horseshoe,Fished,Little Horseshoe,13.751,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,LH,37,1,13.751,13,,
1.1.LH38,-29.48974167,114.9201967,20180508,12:00:00,Little Horseshoe,Fished,Little Horseshoe,13.561,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,LH,38,1,13.561,13,,
1.2.LH41,-29.45972,114.9200133,20180509,12:00:00,Little Horseshoe,Fished,Little Horseshoe,9.261,Ash Miller,Yes,Yes,Cardinal fish (1),Dongara.Millers.Masters,1,2,LH,41,1,9.261,13,,1
1.2.LH42,-29.459085,114.9212717,20180509,12:00:00,Little Horseshoe,Fished,Little Horseshoe,8.061,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,LH,42,1,8.061,13,,2
