Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
1.1.GR7,-29.53570833,114.9294867,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,7,1,13,,,
1.1.GR17,-29.536865,114.9295217,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,17,1,13,,,
1.1.GR37,-29.537225,114.9294333,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,37,1,13,,,
1.1.GR10,-29.53721333,114.928645,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,10,1,13,,,
1.1.GR1,-29.53827,114.92865,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,1,1,13,,,
1.1.GR3,-29.538755,114.9285267,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,3,1,13,,,
1.1.GR21,-29.539315,114.92838,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,21,1,13,,,
1.1.GR6,-29.53968167,114.92886,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,6,1,13,,,
1.1.GR32,-29.54030333,114.928535,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,32,1,13,,,1
1.1.GR44,-29.54052833,114.9279133,20190603,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,GR,44,1,13,,,1
1.2.GR44,-29.54031333,114.9278733,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,44,1,13,,,
1.2.GR32,-29.54007667,114.9285,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,32,1,13,,1,
1.2.GR6,-29.539545,114.928695,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,6,1,13,X,,
1.2.GR24,-29.53914667,114.92812,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,24,1,13,,,
1.2.GR3,-29.53866667,114.9285017,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,3,1,13,,,
1.2.GR1,-29.53808667,114.92851,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,1,1,13,,,
1.2.GR10,-29.53705,114.9286367,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,10,1,13,,,
1.2.GR37,-29.53691333,114.9293783,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,37,1,13,,,
1.2.GR17,-29.53666,114.9294317,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,17,1,13,,,
1.2.GR7,-29.53558667,114.929385,20190604,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,2,GR,7,1,13,,,
1.1.CHS43,-29.540995,114.9504567,20190603,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,CHS,43,1,13,,,
1.1.CHS47,-29.54044,114.950355,20190603,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,11,1,CHS,47,1,13,,,
